V1Mint,CoreAsset,V1Name,CoreName,Method,V1Owner,CoreOwner,MigrationTx
6bmnLrCNaDEWVfRUHjSG5sNYQ4LeysneJPPe74hXfhP4,B9hzqTJpvgSxekSbPo73WmTm3eHSUdSBVWHq9n679Ga3,Aurorian #5167,Aurorian #5167,trace,5GRijRJV1itqEBSZcc8wRQ6yXZts1XsR8T8urasqAQHj,9ejxjyf1iSgJf7JujEGJmJGUoEjwKe3PQ5tVJZoQPY1g,2EJLsNjPJCybDbUATtefkUdcAxceeJqFaNYoZY8hgSkrVuSjgaHxnqibjvkuEuqbUJtHFvUyYS4zwYQoHRzRTUTo
7FFgxSFy5FX769xCu8bkQ1pahRgY6pQVu6QzWEq6XeHo,FZwSayrWtWXynqt7wsn5JeBmacwhNDfvkWCcY5esoQWG,Aurorian #5815,Aurorian #5815,trace,DmzfKBtr7qxUELJYyA5VvnpsU6brpKUXJUrVah3vXt9C,7LqCUWLNQBc1MaCKXF2mFetZfM35fDQhyBqMYhKTTEME,67kdVcVD4Mbmgi4hy8896b7k7yFbhTJhGSFsRstJmRdwqeiUtbZJLnhpox33ZWGquiDhk2ipKA151urfxsgziuQo
9L2H6WYaUQGnu8oGxGfDzo22XVeUbA7kuKU46CLWGL1g,38C3iTsvVSb3mRZR11fxNTQJoXsHEriTMMAYboAKXaZr,Aurorian #7544,Aurorian #7544,failed-migration-tx,paurUkH96miLCY531mvt3Kmna7W9aD7x2zUijRHhEcG,CASHaa4PzBAYiy9K1qszEHp4a2KSmNmCWboEYNXVatTr,4HZJLNrycFStFXHnmRH54ryT3UEfXPemSMXPraFexdNvqsJrDsKsGXXjPw8Tj5haSxMDVsPBb7VK5Dw6PfXuxpQS
GGKMRcs5dFJTnreK1663CSWybYRuABmapb5M2ndavASJ,Hcu7QBY2LVmTYN4VvmQ71a3tTCW8swfVhwu1997Yj6Yy,Aurorian #7632,Aurorian #7632,trace,FBayq5hrtPerZFdiZ7ZNXrgoDEDunM8oAbyX9r1pMMp3,FBayq5hrtPerZFdiZ7ZNXrgoDEDunM8oAbyX9r1pMMp3,NFdiZ1qkYGaxsh2Js8TqVGVjLhNxbTViQ8GUfha6bNm8HbWHNkZUGjjYn26qBa4EHih28qNME3Ae5g51ii8BPcY
DFfDLpqoVwBc8zmaDy7ySv28ekkXycXPscjYtRKXFc5b,F8pey4u63z3SPHVzxrqSUaJSZB2buhS3UVrQjpEBVLUR,Aurorian #6514,Aurorian #6514,trace,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,5Sg8dgkDYaEExmwSCaCcNCvqFP4iU9sXU7zao4Zs3MBTR7yaYkyCERj58HPt7ZPLYGefiftxahMe78JFHsSCFc1X
DuZzQevois3BDZuBsJJQ7LgLNuBrykktwXxepoPf6Y6h,7RNYRRUuVpFyHQzZYjYugG84YzBYcegxAMyjQiub9Bpd,Aurorian #6283,Aurorian #6283,trace,52FtovDYDowztXUhD2sWCnCpL6RpRGqEAq7kzrbj7u1B,BpPVP8dBphx5LPncK3Kb3RTHcHjYRWenxPjJ1MSTfmvx,3fpTJMWSQxn5wQezjrx96xgKJQwhiqbUhQi9YBF1vykXXHnGjrkpVZia86N5ds5nYR2rb6GTrsV84bYx122LQZgG
HSvQuEwiiquNb8EZUPUNZvwuwTuTVeDfM37D8AA7sRyW,B1MCTQgHrvpx2ZvWEE63ZAYH4W2MqXjRyBKXXeYAJQTJ,Aurorian #7683,Aurorian #7683,trace,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,tAFFoTVjhrJptVQBrpMLQJLeF7CFe13sa2sNi2H7rVR595rwN4oMzserQsMU7mctSHV9XSg4t6HJnuLQQiZ3jz7
FH5Bo1aLe9jYnNYgVZ2fj1cznmiMHrZDfG66r63SAqMW,7uLNA6CpLDHkmzPPym2AxrnbCvEqwAPRN53r8zVrUaHL,Aurorian #5923,Aurorian #5923,trace,BmkoWuHYFjWAKjdwfL5cMXqQ2NsBXsZEnM3Bu7rSYs8k,S1q3Z6w4i3UDGZn2ZEK2h7zVKHtSU2sLqDPqc58jA8p,3j37YJjCwXts8VKMQPi7J2udaHkG2Zg5qHm73gjaBvyHmpDGak8f1hYcxLmLVWRhHAHyHg157zAEfX9HHJfFDWvv
GaPDiSqGv8EdQMDNBcPZGprgTYZzTmR76K49dfg3JC6C,DvnkeKTRtrqotDwrJ6HiYoqQ19g4u21ZPdVTwwSLowKY,Aurorian #5669,Aurorian #5669,trace,Be4wbVSGPSscVkp6LnyR4Un5fCD5CoptWHb2USzyhojo,RPcgNB4iAzEQHcuEGzzo1hCegEpqhj3GNqJmVY22EYf,5rzDD4WWaycMNgzAGPhoZS1Hr14ZEkJGoT3KfzFcFMgCuZS4fbrqm7CtauMCLVwc7SkPuH4bZUoVTvy7PAPcizo8
7EyaEZ2yucgDWhkrVgaYMan2HoJvgEsFKCiF4jUXFaoe,4fiJB6ZWcAELF25TY4x9LVbu6zL2hP9vfEdjibAgyhfq,Aurorian #6146,Aurorian #6146,trace,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,6BmnZ6VG8WX2QXzBasVEXqgXPutzxvwvHpUMg21Cpz5h,28a1gGAaeqfGWbMuv6kJujv1gxgrH34vTjs6kd7SD5JYESGZCSSPZdZhw9dcZgZm5JfTrAD25Yp1ZKooqeokdoFQ
8zLEHwNTmxhRcAztx69vcZw6NGbXRvhjDDv1LW4TheBx,7sCpM5BRnFkGdLLEvkQpcj4sa13eeAQ7BJdTsX7kdxPx,Aurorian #7418,Aurorian #7418,trace,CqA42zXaf5zXk7EW7jtCLfL2uH1efuB9GtTfjfJ2hzoq,CqA42zXaf5zXk7EW7jtCLfL2uH1efuB9GtTfjfJ2hzoq,EWqHPeBpW6rk2ottd4bkZVyRyBzqc54fqGuYpi9wGCTkyAN1QLdEQ2bupXgy7Atq5Ab6rwqfbmFttmMirHrKMW8
6nnNuvyQDUooYBqurnW77j9bRbkv3RZVuSF4Zv4ncwBN,6EuxsGuasngBzFvFpGNkuC3HCup56ucBzfkoMoM5d9r4,Aurorian #4322,Aurorian #4322,trace,DmHhENyvzcjwtwQoR9uZc8QCSwXgk9tUqixDFD3pvGPB,DmHhENyvzcjwtwQoR9uZc8QCSwXgk9tUqixDFD3pvGPB,6vq8oAijDkvEXNdEfX5pEDREuA3Wfmba9yY8DTyZDAiVvLDjU1s2DJQoEbHGbWB9bRDxzBeuipTgvXJNLRf68Mc
779X62P2rHcbUhhcFcp6xsvQN1ZeKG3FGrGTiXNdtpTu,dKPFo3DTFs5sMCLCMZi3vitqwWLaF2jaAKU7CjTAoVh,Aurorian #2096,Aurorian #2096,trace,2YGYkdEMQYgAyfiDnPbtVmgcuUnEzSLeG5HrXLAPfs16,5k15YfLg5TmTeVUAuxpQgK4r3Dzuu9ce6RwmKUdtDXYH,5HsRiBoTN52Jh65LyvF9BKXLgQyrHVaPNQfGHNDYmYt1K1XCASeGi6FFzZxtKR4SzffmZ9YRZnwQGjMWn71ckrZ3
