asset,owner
2DPgPZKjvffxaYqUHCKV3sV7SYD7n7iAfY7zXKJfZD9f,aumuHzMdUFiFCvJ7kk1djU4CViSzxJk3FjXTXgvdNZn
2DQt3BQrc1aGbYCiqGeBL9QVfhKeikqDoTzwF2eXqJMC,BZWbW52vYzDHRNYHSPQ78WcHtZovHzRSa43XY8rtJHF1
2DVuNnkkC3c7qf7WLAdKc4QD51o7YPRpjNASyGfS7BRC,Gx8pDnqYwn7pb5bWQMGsmTVbpB1EPrPEBCgKVZJGKqTo
2DZ8YUSQLxFiFrLN37TznyCN1sMgGFhRaQuqSQ9N321y,CqA42zXaf5zXk7EW7jtCLfL2uH1efuB9GtTfjfJ2hzoq
2DvsYyPeTS5yN7dpcWK4TW4FVsDKzkWzXnuPnpXUxjGM,7DnqWV1732auGkzfKgNxzcEHJfapX2GbwZ1w3aqoAN4z
2E1Cd8sxdmHupGSVu699sqNZAoR8Dx125nK9dCRftELK,EEqPhsgUimcYr4YHcc1TrwoQVUHm6p8RVkM8W1wqoDqR
2E59FmWptNjzgW8fCz1xkc3Jd4Rif2h3f6yVPVQAbcJM,DFCsk3eC8c4VLMSqzzBNBwPsb3jHh562GnnMwY3jRsck
2EASQutvvnKzwDMz3PgSCjVXoumRaG9rUnXGPPqyZsBr,GcABZfRQ7gHmP6KjuMypg79TpW7eFiZntfmBSMD3FCLR
2EBKsEFsMKEBPmvKYxifpNshMmhQMK3WRv8NsZJKhH5j,26UgX9WSX9vadYdgfcp69nkYK6mjgfkVnHkfkGCyyqGh
2EJsaipv8S8THaiuzDizS8GcrsJicj2DKDCttJziyBa3,BxMJyY1EsNoWuPgfR3NEDZ8xxhYpn2eSERgWUjxcoztu
2ER1MMs8dZyd572XLBTFfE3LPgnDuruBKPXrKegvLMNh,ecK4tn8zXaLFDRVcxVC5dT1ar4cB6qQZ6xtnp7sfhDD
2EVzXzStoPvwYXsxvY1Ya1RF6uk5C7iUuhCuNMP2FTXn,9VNc9BWtBb959bawciDdqr5zU6dTDPwSzB5PxQeHBL9p
2EfWu4PX1LAb6eEnf8cGtmvNZnfTs8y8kdgMTQQ2mi87,71HtZCnRRWaayEg9HrSoSmfJMwjsBdNiqGhGShCBNLpp
2EhDa3z119C2EkqHrFbZWYmbPaQQwn5sZzM3nayc59j3,BvXbmaT51d4JkwxN9C34RrZiJAEuRJKtcj3YMJpxf57P
2EjG5aENUNUuRAvUmKRvQkCsi6CiWwKEPV2o2MX8o2Cp,25TqXN4ToREvj3CVYJcTP1MWbbi9Dd7uUeQ7uTW7pmnU
2ErP16Rf9mmUUPivXACLRJywnFu2mXcYVtLKxNSVdLdz,HRtwRVTmn6sbENbE8HPCyk8dJXURsLwBe6RMN9GnUpPW
2EzRytDkxNkSyvZiogYw79xBj9MkuFoTgDP6kPLeJer2,9t4ZfjqAta7Y5eGwb98XDfsYf7dY2HpuDdx8TwNWPfrr
2F5N3ePG8r1UvtYw1LCXp1SCYU4wVemCJKAbWFyVPUcq,FRnFVoakjCChVX5DSSfoyKtTqod36uQyB7deXqNB7XYG
2FofnAhGWKqYy4VyxTDjo3FJmpYNShPdR5cXqU3A3bUS,CYtj1b7P36PzrCEfkLHnix3JuWhNZxkbAn3PYotm9dbx
2Fsd43AFsW58yyj5huC6555d9eDniArcNXqwsxmYouhZ,5Qo5ubyzfzNdNEPBmfBRM2HfWaLF5AbGUNigvbxLzBF3
2G4zRxyvjtWsLMWDYgGQ4PN68M1N3aqMqceQUcjuFgbM,DvvH5QamCancuCSorSWf94JCcu6SkQ9giRB6hFSYBsCw
