Mint,Owner,Note
J2YWD9EavKRdg3vvuutzGo3jsW1uqunRbonx2aGGgvFp,3Zfae8d6sE5Js4m67NywevUX3hPtyqU9GBcW4cypMFA7,
J2W4MVr9ed1SX9pNDuwVYoEFi9zNzDybQ1Jb2e1UxvCJ,AUrox7sHx1L8mxEPrNqkVjHa16CXQ73UbgZtZTNPNLjx,
J2Tq1wR8P6dtn7EkHfSNJscBY2ppr3zU1HJuaH5Zi5hg,25TqXN4ToREvj3CVYJcTP1MWbbi9Dd7uUeQ7uTW7pmnU,syncspace
J2DTYsuUoFeoGzA2RyHV6hux7KPoc5jPavTFdeitNSVm,8A2vh4YicVc9TPbzgvZz3hn95t4MkWTn8RshR2i1dsfB,syncspace
J27LgepThrSq67xhquGDfpy4PNeK6Lk8t28dzpLo29Bw,aumuHzMdUFiFCvJ7kk1djU4CViSzxJk3FjXTXgvdNZn,
J22gGXESAquPxQkpPPDBRUAYYjrpc1BprNGBgzomz2SL,B1VMDi9rw7QPvFfqUsSTEohwJee6PyAMJUimUyyw9rS1,syncspace
J1yJYnemFtsixEzNEnby32CPxaaWHbtBFAPJq6wBtPKx,8UdqwapnSHzfi1NARMRwExmWxxcbYJmSzdSpni6Kuu3u,
J1wC7qErJn2p185vH7LZySxfCzr39QF3Fbij3XC3oMMh,6erKQrjX85WFqyMmHK1WW6ss6gm8rAY4DX4SfjFbdv4y,syncspace
J1srnRWd5MTUZQKpNiiYNZrwaTcR4x3aW7Gk3CDG4vdk,8LDN97kENFReVtS7ynqgT2J6cUTW2mVTHbk9n7CTtS7L,
J1onE9Yvm9dEYzen2rtfGez2Kc1SbCmci5SxmsvLAA8G,HTX9BkwYdwmH3xPVAyaiVC8pVusCp4gDWTqwLwzCM1bx,syncspace
J1oVrwWccoKmS82Xbe51AXpxv6VFfuXnokkwEHfx6P7q,81MMZdtpDzevCJLcFLiSm61DFr8kqnrPVrwG9XGQnpqQ,
J1evfq1YMqDhb8mpTADrCSdp1merdtivfKxW5jswZfHt,4YkbzakRRsoLPCSeBVmwYvJ4Pm82Kc2MfyVxbwLBQsKo,
J1c9xnMcfLx146dTZHPhy414N4j8AXYa8keGxkEbm9vy,GPg1UBnaqBjZS2XiMfEpgWn5YBJmNkVd11HXjYrDmVsr,syncspace
J1aqazLiWTkAbjj7aAgptKCBRBKoaEAY3emrBgKfsgWH,CiS1udKWfC9tQqMLE2pDCryHMUyoCaL7PNWY3hm5o49x,syncspace
J1ZNaPjaFFQtDu82VyMLQ23dEFBR9e6Sx1RuFQFqsA8U,Hg2gqbjGgL8NZDmJk6jfqskafuK2pPqccSq5FqamaTX2,syncspace
J1PTiWRQMoBni5nxKnpdGqG6QdzYzG3tcwvXY4YMkzEi,Ba8FKZK7TZgnXY929Wg5fdyjhNQXJmCHyi92xLubkzeC,
J1J4zLHnFnfhoGDHNmpHYBqBUG1T9ddPSVWUZfJfD2sz,3wcuLnxQcrVUta1M1raxcD1jptwRwGxXAPBSZhdPnUSF,
J1Gy2a1dSRd5ukiNmKAP2vYv4mx9XwQFuKWVRRFUjbV1,DRhhLnJbiwDERdCN7AyYMh7aNQFwtFQqpnWzMsmMif31,
J1G1ZSc2Pdhm4yeoXqYcn4TijcGP7vTzEnHdbPvbdcF5,FJd1xSJj5pvVJdrLGNPCWjGzJBi4xFW3TVRSRX4CzCF6,
J1CBPNDy9wGaQioYd577QAENdLqyWMMewq9N7NnvJjc9,96r9ZHc8BQr8fdB83C129jv8sqQ1m4biW9SryTbontM7,
J13D7ntk4S6QBD7mDkUVtWPa4eVpyrP5sZhUj1WyEzGh,DKmQngAhJkDoW982UBaQnjb6jpG7XqM4UMwNJZTvFW8t,
HzxGGxvRPorhdM36UXiJACnhqM1ThTto9Wst4msd3p2c,4qYWqy7eVddKcykU7XtpLUrKYdF8VtPobn6tUuqKhWtv,syncspace
HzvLRowRCSBBh8tXXUuxPJDW2CLSMVZ5NgjB2MGsFXm6,CcXXbrRZM3s3tjZSfB9GKAny5oyCWpHBTkvV2G41RtnR,
HzqVBHiAQG9kFCii5u7yLb6jJRMVFra6TXtTE63xLoPd,Fa8TzVCkeQd7ZMcGNZEvC3kvSKtxMymdv1gCVZoPexuW,
HzqJghLXji69eFwvMXXUWnvksmMtyZZA71xEqF7XQxLH,4kHHoMfo2pMCLz3WsPMdxJRP3vrtbPuq2EjFtkZqZdLv,
HzhhypQMs5qWG2VSaVKvVPhmfYaXyRkjudCdBnVqGye4,5wceam6f3i2PNykKQkomeord2dhxsmyTEaEFxVLVaegM,syncspace
HzgMEVGHY1kNfjwV8axmz8JzigVvY1zVZnPeJfJahd8C,25TqXN4ToREvj3CVYJcTP1MWbbi9Dd7uUeQ7uTW7pmnU,syncspace
HzXEi2xmVmr7Lk3HDXTLw7ECzdFo3DjbdfRXJdPfq5Vk,Hq23RE564UaA9WNxMmT9Rtpr8RFUwaYoh6XrGnkMoUAc,syncspace
HzWUaQHtMFkzMtJVMJimTqg61Yxat44XDWekDvrdR3MN,HTX9BkwYdwmH3xPVAyaiVC8pVusCp4gDWTqwLwzCM1bx,syncspace
HzNUwPdFV3E4CUWAyaUXKxaFemKzCkZrjLGD7V68Lwbo,FHbVUUSthmyFC1vt87pVcN51GSirxy2NAu2P3cQvUs5E,syncspace
HzFCeN3mGfdaHDiroDQERrVuB63YQxsuCXrg4EaSHcbg,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8,
HytvVC1UhqWb8YUFAhUw89LkZ1Rfq3MBKjdEztr3wVZU,FGhpVj4yaJtiGeMY2X2iNeBSisA7WBEUjPdVXgVqcGQ8,
HyijRtVzu4vyvdJsK7Rf2biju16eUz3GLSfdw2j2JtBC,B7Unbxy3yUyG9g2tL2H6TiT3RJyWhjR8qSty1pDrJFcx,
HyLoXk9yndALiRTXRPs1PzUMg11TivHhERCFe8gR76gL,67jjjntU8M5SKDZy5gW4w41EHeBj9beVr2i5uFqPnMVu,
Hy9xg21crkkk4vgEbBAjiaCZySYX76jWgZJ27HBKch7s,autfyCR5psTc85smVAcGQajFT4TC8xxPPH1wvJu2Grr,
Hy6xpuG5MCQVf6CzZqp6LxFhm6CTYygeLjP1QPmCiKYN,CB8Pr9uzrrFw8BFnCqworH1wMa8DsmbSKgUNwVWnDGrL,
Hy2JeyMKhbaLvxpFu1oVfjT8y7MgDvx1NbEQtAEyVPb9,D65qKpPN2Ug5mnCTHPNAuDF7bwD8b6GEUErsU6RDMhhW,
HxzJCm77FXugcAY5h6tSxWHE3VSZF1LzYrChnEpFxY6V,6X4voaAc4tikvPW7qJvxmTcUR7KdNmzCPw25nheWwbaE,
Hxj2ZSaiLE7BAvk9815Rzy9zDkMUpkdCb5bFL2G9w39F,aumuHzMdUFiFCvJ7kk1djU4CViSzxJk3FjXTXgvdNZn,
Hxixw3TZcfARMMaawvpNnxHV2RRwEXw1HNUr4iGXakDP,Ev1GuP5JYsMC2z19WscQ8jDLFcYG8gBQ6EoRcqZZZvEo,syncspace
HxfrDuWsPz6xDuo4qEK6GZBdPsHfLzeXYUxBDev84egD,6bmmtgGZe5V89WmvJVFT1vhrWu4BwoM2yyYuv11ybfr5,
HxWhswACwWEWtFVGLFCUrB39cHBaYHW5GPGGGBHi7v7D,G43e2oSgeTEaxN3vc9iCKUg2AXaNhfs6KtRwoxgZ6qdP,
